Time,wave1,wave2,wave3,wave4,wave5
0,1.988,-0.868,0.861,-0.3535,0.399
0.083666003,2.044,-0.854,0.805,-0.3031,0.399
0.167332005,2.065,-0.833,0.735,-0.2492,0.399
0.250998008,2.072,-0.798,0.665,-0.1953,0.4543
0.334664011,2.072,-0.749,0.5964,-0.1386,0.4543
0.418330013,2.079,-0.707,0.5299,-0.0833,0.4543
0.501996016,2.079,-0.6566,0.4641,-0.02562,0.4711
0.585662019,2.079,-0.6097,0.3969,0.03444,0.4711
0.669328021,2.079,-0.5523,0.3241,0.0945,0.4711
0.752994024,2.079,-0.4935,0.2548,0.1561,0.4158
0.836660027,2.065,-0.4249,0.1876,0.2177,0.4158
0.920326029,2.023,-0.3507,0.1239,0.2842,0.4158
1.003992032,1.953,-0.2709,0.0728,0.3458,0.3528
1.087658034,1.827,-0.189,0.004739,0.4081,0.3528
1.171324037,1.68,-0.1008,-0.0714,0.4711,0.3528
1.25499004,1.526,-0.003493,-0.1407,0.5355,0.2254
1.338656042,1.365,0.0966,-0.2037,0.5971,0.2254
1.422322045,1.197,0.2072,-0.2604,0.6566,0.2254
1.505988048,1.029,0.3171,-0.3122,0.714,0.05999
1.58965405,0.861,0.4305,-0.3682,0.77,0.05999
1.673320053,0.6895,0.5432,-0.4263,0.826,0.05999
1.756986056,0.511,0.6482,-0.4809,0.889,0.05999
1.840652058,0.3262,0.742,-0.5264,0.938,-0.06293
1.924318061,0.1449,0.826,-0.5733,0.98,-0.06293
2.007984064,-0.03857,0.931,-0.6223,1.029,-0.06293
2.091650066,-0.2233,1.036,-0.672,1.071,-0.1813
2.175316069,-0.3976,1.155,-0.721,1.099,-0.1813
2.258982072,-0.5628,1.26,-0.77,1.127,-0.1813
2.342648074,-0.721,1.365,-0.805,1.141,-0.3045
2.426314077,-0.875,1.463,-0.84,1.148,-0.3045
2.50998008,-1.001,1.54,-0.868,1.141,-0.3045
2.593646082,-1.12,1.61,-0.903,1.127,-0.3598
2.677312085,-1.267,1.68,-0.931,1.099,-0.3598
2.760978088,-1.435,1.764,-0.952,1.064,-0.3598
2.84464409,-1.582,1.834,-0.973,1.022,-0.4018
2.928310093,-1.694,1.876,-0.987,0.987,-0.4018
3.011976096,-1.806,1.876,-1.001,0.952,-0.4018
3.095642098,-1.925,1.834,-1.015,0.91,-0.4277
3.179308101,-2.023,1.771,-1.022,0.868,-0.4277
3.262974103,-2.121,1.708,-1.029,0.805,-0.4277
3.346640106,-2.205,1.638,-1.022,0.742,-0.3682
3.430306109,-2.282,1.554,-1.008,0.6741,-0.3682
3.513972111,-2.352,1.463,-0.994,0.5985,-0.3682
3.597638114,-2.415,1.351,-0.973,0.518,-0.3129
3.681304117,-2.464,1.218,-0.945,0.4354,-0.3129
3.764970119,-2.499,1.064,-0.924,0.3458,-0.3129
3.848636122,-2.527,0.903,-0.896,0.2485,-0.3129
3.932302125,-2.534,0.728,-0.861,0.1561,-0.1946
4.015968127,-2.513,0.5544,-0.833,0.06461,-0.1946
4.09963413,-2.471,0.371,-0.805,-0.03514,-0.1946
4.183300133,-2.436,0.1911,-0.763,-0.1295,-0.0714
4.266966135,-2.429,0.0098,-0.721,-0.2282,-0.0714
4.350632138,-2.429,-0.1743,-0.6769,-0.3248,-0.0714
4.434298141,-2.408,-0.3444,-0.6314,-0.4144,0.0938
4.517964143,-2.373,-0.5117,-0.5859,-0.497,0.0938
4.601630146,-2.324,-0.672,-0.5334,-0.5761,0.0938
4.685296149,-2.268,-0.826,-0.4725,-0.6573,0.2212
4.768962151,-2.198,-0.952,-0.406,-0.742,0.2212
4.852628154,-2.107,-1.064,-0.3367,-0.812,0.2212
4.936294157,-2.009,-1.218,-0.2695,-0.882,0.3696
5.019960159,-1.911,-1.386,-0.1946,-0.938,0.3696
5.103626162,-1.806,-1.512,-0.1169,-0.994,0.3696
5.187292165,-1.687,-1.624,-0.03836,-1.036,0.4837
5.270958167,-1.575,-1.736,0.04662,-1.064,0.4837
5.35462417,-1.449,-1.841,0.1379,-1.078,0.4837
5.438290172,-1.302,-1.932,0.2205,-1.092,0.5348
5.521956175,-1.155,-2.023,0.3101,-1.106,0.5348
5.605622178,-1.008,-2.1,0.4039,-1.12,0.5348
5.68928818,-0.84,-2.177,0.4914,-1.134,0.5096
5.772954183,-0.665,-2.24,0.5873,-1.148,0.5096
5.856620186,-0.4816,-2.303,0.6797,-1.148,0.5096
5.940286188,-0.2982,-2.352,0.763,-1.141,0.5096
6.023952191,-0.1099,-2.387,0.847,-1.134,0.3822
6.107618194,0.0854,-2.415,0.924,-1.12,0.3822
6.191284196,0.2765,-2.436,0.98,-1.099,0.3822
6.274950199,0.4697,-2.436,1.043,-1.085,0.1869
6.358616202,0.6636,-2.408,1.099,-1.064,0.1869
6.442282204,0.854,-2.366,1.162,-1.043,0.1869
6.525948207,1.05,-2.31,1.232,-1.001,-0.01631
6.60961421,1.239,-2.254,1.309,-0.952,-0.01631
6.693280212,1.442,-2.219,1.379,-0.896,-0.01631
6.776946215,1.645,-2.184,1.428,-0.833,-0.3297
6.860612218,1.841,-2.142,1.456,-0.77,-0.3297
6.94427822,1.995,-2.079,1.477,-0.7,-0.3297
7.027944223,2.065,-1.995,1.484,-0.6286,-0.665
7.111610226,2.107,-1.897,1.484,-0.5579,-0.665
7.195276228,2.198,-1.806,1.477,-0.4844,-0.665
7.278942231,2.317,-1.694,1.449,-0.4046,-0.98
7.362608233,2.415,-1.582,1.414,-0.3213,-0.98
7.446274236,2.506,-1.463,1.379,-0.238,-0.98
7.529940239,2.583,-1.323,1.337,-0.154,-1.281
7.613606241,2.632,-1.162,1.281,-0.0728,-1.281
7.697272244,2.66,-1.015,1.232,0.00847,-1.281
7.780938247,2.674,-0.861,1.169,0.0938,-1.54
7.864604249,2.674,-0.6811,1.092,0.1771,-1.54
7.948270252,2.674,-0.4984,1.015,0.2513,-1.54
8.031936255,2.667,-0.3136,0.931,0.3234,-1.54
