MaskMode,MeanTau,MAE
None,18.629909365558913,0.0578459
A,14.822507552870091,0.86722636
B,39.11883182275932,0.64037234
C,37.34415911379658,0.6497938
D,22.006294058408862,0.11504463
AB,0.5,0.2751473
AC,13.698640483383686,0.41275772
AD,15.923967774420948,0.38465655
BC,36.11354481369587,0.76578385
BD,41.08862034239677,0.62209105
CD,37.7389224572004,0.6158536
ABC,23.83534743202417,0.6200672
ABD,1.1583585095669686,0.6513991
ACD,14.664149043303123,0.5491139
BCD,36.00906344410876,0.658706
ABCD,31.956696878147028,0.6452852
