#----------------------- Tank dimensions -----------------------
#        Length(m) of the wavetank::          xlen::    3.0000000000000000E+01
#          Beam(m) of the wavetank::          ylen::    1.0000000000000000E+01
#         Depth(m) of the wavetank::             h::    5.0000000000000000E+00
#------------------------ Select case --------------------------
#          Choice of computed case::         icase::     4
#------------------ Irregular wave (icase=4) -------------------
#      Significant wave height (m)::            Hs::    4.7000000000000000E-02
#                  Peak period (s)::            Tp::    1.0780000000000001E+00
#           Shape factor (Jonswap)::         gamma::    1.8000000000000000E+00
#    Seed number for random numb. ::         iseed::   950
# 
# 
#-------------------- Wavemaker definition ---------------------
#     Nonlinear order of wavemaker::         i_wmk::     2
#      Type (1: piston, 2: hinged)::         igeom::     2
#           Rotation axis distance::       d_hinge::    1.0000000000000000E+00
#                        Time ramp::         iramp::     0
#               Time ramp duration::         Tramp::    0.0000000000000000E+00
#----------------------- Numerical beach -----------------------
#       Absorption numerical beach::        iabsnb::     1
#       Beginning front num. beach::         xabsf::    8.0000000000000004E-01
#        Absorption strength front::     coeffabsf::    1.0000000000000000E+00
#------------- Elevation/Velocity-Pressure probes --------------
#                    Use of probes::       iprobes::     1
#      Filename of probe positions::      pro_file:: prob_W2Basin.inp                                                                                                                                                                                                                                                                                            
#---------------------- Time-integration -----------------------
#       Duration of the simulation::        T_stop::    4.3027999999999997E+02
#          Time tolerance: RK 4(5)::         toler::    1.0000000000000000E-04
#                 Output frequency::         f_out::    3.0000000000000000E+01
#--------------------------- Output ----------------------------
#       Output: 1-dim. ; 0-nondim.::          idim::     1
#                Free surface plot::           i3d::     0
#                       Modes plot::        imodes::     0
#            Wavemaker motion plot::          iwmk::     0
#     Swense output 1='yes',0='no'::          i_sw::     1
#--------------------- Numerical parameters ---------------------
#       Number of nodes/modes in x::            n1::   512
#       Number of nodes/modes in y::            n2::     1
#     Number of nodes/modes on wmk::            n3::    17
#                        HOS order::          mHOS::     3
#        Dealiasing in x-direction::            p1::     3
#        Dealiasing in y-direction::            p2::     1
#       Filtering ratio in x-modes::   coeffilt(1)::    1.0000000000000000E+00
#       Filtering ratio in y-modes::   coeffilt(2)::    1.0000000000000000E+00
#       Filtering ratio in z-modes::   coeffilt(3)::    1.0000000000000000E+00
TITLE="Probes elevation records versus time"
VARIABLES = "time" "p1" "p2" "p3" "p4" "p5" 
 0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 3.33333E-02 -3.28915E-04 -3.27078E-04 -3.22171E-04 -3.20978E-04 -3.17381E-04
 6.66667E-02 -3.51598E-04 -3.47499E-04 -3.38337E-04 -3.36048E-04 -3.29575E-04
 1.00000E-01 -3.72864E-04 -3.66620E-04 -3.53741E-04 -3.50455E-04 -3.41432E-04
 1.33333E-01 -3.92697E-04 -3.85053E-04 -3.68846E-04 -3.64674E-04 -3.52963E-04
 1.66667E-01 -4.11123E-04 -4.03216E-04 -3.83948E-04 -3.79009E-04 -3.64170E-04
 2.00000E-01 -4.28291E-04 -4.21144E-04 -3.99059E-04 -3.93457E-04 -3.75090E-04
 2.33333E-01 -4.44501E-04 -4.38506E-04 -4.13924E-04 -4.07728E-04 -3.85836E-04
 2.66667E-01 -4.60143E-04 -4.54815E-04 -4.28184E-04 -4.21418E-04 -3.96579E-04
 3.00000E-01 -4.75504E-04 -4.69756E-04 -4.41596E-04 -4.34264E-04 -4.07454E-04
 3.33333E-01 -4.90581E-04 -4.83424E-04 -4.54194E-04 -4.46322E-04 -4.18434E-04
 3.66667E-01 -5.05051E-04 -4.96317E-04 -4.66287E-04 -4.57951E-04 -4.29310E-04
 4.00000E-01 -5.18485E-04 -5.09069E-04 -4.78302E-04 -4.69621E-04 -4.39812E-04
 4.33333E-01 -5.30706E-04 -5.22100E-04 -4.90560E-04 -4.81644E-04 -4.49820E-04
 4.66667E-01 -5.42048E-04 -5.35458E-04 -5.03150E-04 -4.94034E-04 -4.59492E-04
 5.00000E-01 -5.53315E-04 -5.48955E-04 -5.15959E-04 -5.06581E-04 -4.69198E-04
 5.33333E-01 -5.65480E-04 -5.62498E-04 -5.28838E-04 -5.19082E-04 -4.79314E-04
 5.66667E-01 -5.79289E-04 -5.76333E-04 -5.41794E-04 -5.31553E-04 -4.90023E-04
 6.00000E-01 -5.95035E-04 -5.91022E-04 -5.55052E-04 -5.44275E-04 -5.01280E-04
 6.33333E-01 -6.12601E-04 -6.07154E-04 -5.68972E-04 -5.57644E-04 -5.12939E-04
 6.66667E-01 -6.31670E-04 -6.25000E-04 -5.83856E-04 -5.71946E-04 -5.24933E-04
 7.00000E-01 -6.51922E-04 -6.44329E-04 -5.99775E-04 -5.87182E-04 -5.37343E-04
 7.33333E-01 -6.73063E-04 -6.64477E-04 -6.16480E-04 -6.03040E-04 -5.50291E-04
 7.66667E-01 -6.94690E-04 -6.84580E-04 -6.33446E-04 -6.19005E-04 -5.63758E-04
 8.00000E-01 -7.16135E-04 -7.03819E-04 -6.50006E-04 -6.34519E-04 -5.77448E-04
 8.33333E-01 -7.36421E-04 -7.21542E-04 -6.65526E-04 -6.49122E-04 -5.90829E-04
 8.66667E-01 -7.54394E-04 -7.37257E-04 -6.79545E-04 -6.62520E-04 -6.03341E-04
 9.00000E-01 -7.69001E-04 -7.50557E-04 -6.91832E-04 -6.74581E-04 -6.14637E-04
 9.33333E-01 -7.79547E-04 -7.61067E-04 -7.02376E-04 -6.85287E-04 -6.24730E-04
 9.66667E-01 -7.85791E-04 -7.68467E-04 -7.11294E-04 -6.94681E-04 -6.33936E-04
 1.00000E+00 -7.87850E-04 -7.72573E-04 -7.18736E-04 -7.02821E-04 -6.42646E-04
 1.03333E+00 -7.85999E-04 -7.73417E-04 -7.24805E-04 -7.09754E-04 -6.51059E-04
 1.06667E+00 -7.80558E-04 -7.71261E-04 -7.29521E-04 -7.15501E-04 -6.59080E-04
 1.10000E+00 -7.71956E-04 -7.66528E-04 -7.32846E-04 -7.20056E-04 -6.66440E-04
